188, 48, 49, 50, 47, 1000080, 1000017, 1000035, 1000053, 
189, 49, 50, 51, 56, 1000081, 1000017, 1000035, 1000053, 
190, 50, 51, 52, 57, 1000082, 1000017, 1000035, 1000053, 
191, 51, 52, 53, 58, 1000083, 1000017, 1000035, 1000053, 
192, 60, 53, 54, 59, 1000084, 1000017, 1000035, 1000053, 
193, 61, 62, 55, 60, 1000085, 1000017, 1000035, 1000053, 
194, 62, 63, 64, 61, 1000086, 1000017, 1000035, 1000053, 
195, 63, 64, 65, 70, 1000087, 1000017, 1000035, 1000053, 
196, 64, 65, 66, 71, 1000088, 1000017, 1000035, 1000053, 
197, 65, 66, 67, 72, 1000089, 1000017, 1000035, 1000053, 
198, 44, 67, 68, 73, 1000072, 1000017, 1000035, 1000053, 
199, 45, 46, 69, 74, 1000073, 1000017, 1000035, 1000053, 
200, 46, 47, 48, 75, 1000074, 1000017, 1000035, 1000053, 
201, 47, 48, 49, 50, 1000075, 1000017, 1000035, 1000053, 
202, 48, 49, 50, 51, 1000076, 1000017, 1000035, 1000053, 
203, 49, 50, 51, 52, 1000077, 1000017, 1000035, 1000053, 
204, 58, 51, 52, 53, 1000078, 1000017, 1000035, 1000053, 
205, 59, 60, 53, 54, 1000079, 1000017, 1000035, 1000053, 
206, 60, 61, 62, 55, 1000080, 1000017, 1000035, 1000053, 
207, 61, 62, 63, 64, 1000081, 1000017, 1000035, 1000053, 
208, 62, 63, 64, 65, 1000082, 1000017, 1000035, 1000053, 
209, 63, 64, 65, 66, 1000083, 1000017, 1000035, 1000053, 
210, 72, 65, 66, 67, 1000084, 1000017, 1000035, 1000053, 
211, 73, 74, 67, 68, 1000085, 1000017, 1000035, 1000053, 
212, 74, 75, 76, 69, 1000086, 1000017, 1000035, 1000053, 
213, 75, 76, 77, 78, 1000087, 1000017, 1000035, 1000053, 
214, 76, 77, 78, 79, 1000088, 1000017, 1000035, 1000053, 
215, 77, 78, 79, 80, 1000089, 1000017, 1000035, 1000053, 
216, 56, 79, 80, 81, 1000072, 1000017, 1000035, 1000053, 
217, 57, 58, 81, 82, 1000073, 1000017, 1000035, 1000053, 
218, 58, 59, 60, 83, 1000074, 1000017, 1000035, 1000053, 
219, 59, 60, 61, 62, 1000075, 1000017, 1000035, 1000053, 
220, 60, 61, 62, 63, 1000076, 1000017, 1000035, 1000053, 
221, 61, 62, 63, 64, 1000077, 1000017, 1000035, 1000053, 
222, 70, 63, 64, 65, 1000078, 1000017, 1000035, 1000053, 
223, 71, 72, 65, 66, 1000079, 1000017, 1000035, 1000053, 
224, 72, 73, 74, 67, 1000080, 1000017, 1000035, 1000053, 
225, 73, 74, 75, 76, 1000081, 1000017, 1000035, 1000053, 
226, 74, 75, 76, 77, 1000082, 1000017, 1000035, 1000053, 
227, 75, 76, 77, 78, 1000083, 1000017, 1000035, 1000053, 
228, 84, 77, 78, 79, 1000084, 1000017, 1000035, 1000053, 
229, 85, 86, 79, 80, 1000085, 1000017, 1000035, 1000053, 
230, 86, 87, 88, 81, 1000086, 1000017, 1000035, 1000053, 
231, 87, 88, 89, 90, 1000087, 1000017, 1000035, 1000053, 
232, 88, 89, 90, 91, 1000088, 1000017, 1000035, 1000053, 
233, 89, 90, 91, 92, 1000089, 1000017, 1000035, 1000053, 
234, 64, 91, 92, 93, 1000072, 1000017, 1000035, 1000053, 
235, 65, , 93, 94, 1000073, 1000017, 1000035, 1000053, 
236, 66, , , 95, 1000074, 1000017, 1000035, 1000053, 
237, 67, , , , 1000075, 1000017, 1000035, 1000053, 
238, 68, , , , 1000076, 1000017, 1000035, 1000053, 
239, 69, , , , 1000077, 1000017, 1000035, 1000053, 
240, 78, , , , 1000078, 1000017, 1000035, 1000053, 
241, 79, , , , 1000079, 1000017, 1000035, 1000053, 
242, 80, , , , 1000080, 1000017, 1000035, 1000053, 
243, 81, , , , 1000081, 1000017, 1000035, 1000053, 
244, 82, , , , 1000082, 1000017, 1000035, 1000053, 
